date,temperatureMax,temperatureMin,rainTotal,rainPercent,barometerMax,barometerMin,cloudMax,cloudMin,humidityMax,humidityMin
2017-01-28,35.774,26.06,0.0,0.0,29.351,29.129,,,84.0,73.0
2017-01-29,37.481,28.04,0.0,0.0,29.493,29.31,,,84.0,78.0
2017-01-30,28.04,11.3,0.0,0.0,29.633,29.493,,,79.0,58.0
2017-01-31,31.448,-4.72,0.026,0.35,29.7,29.572,,,71.0,53.0
2017-02-01,33.154,9.14,0.0,0.0,29.646,29.495,,,76.0,59.0
2017-02-02,30.2,20.66,0.0,0.0,29.788,29.646,,,76.0,48.1
2017-02-03,26.73,15.8,0.0,0.0,29.884,29.772,,,73.0,56.0
2017-02-04,30.473,1.4,0.0,0.0,29.921,29.803,,,69.0,57.0
2017-02-05,33.241,19.76,0.0,0.0,29.914,29.449,,,62.0,46.621
2017-02-06,30.2,10.4,0.0,0.0,29.89,29.486,,,74.0,49.0
2017-02-07,28.94,14.0,0.0,0.0,29.875,29.488,,,70.0,59.931
2017-02-08,43.83,25.52,0.388,5.21,29.596,29.133,,,82.0,60.31
2017-02-09,25.52,-2.132,0.0,0.0,29.665,29.534,,,66.0,56.0
2017-02-10,16.266,-8.32,0.026,0.35,29.927,29.58,,,65.0,38.0
2017-02-11,23.0,4.28,0.0,0.0,29.855,29.584,,,68.0,44.0
2017-02-12,27.32,2.3,0.0,0.0,29.918,29.513,,,78.0,66.0
2017-02-13,26.488,16.34,0.0,0.0,29.772,29.307,,,78.0,75.0
2017-02-14,37.158,8.24,0.0,0.0,29.775,29.495,,,76.0,56.0
2017-02-15,36.426,21.56,0.026,0.35,29.508,29.135,,,82.0,67.0
2017-02-16,30.287,21.38,0.0,0.0,29.399,29.15,,,81.552,74.0
2017-02-17,36.835,14.54,0.0,0.0,29.593,29.399,,,76.0,59.552
2017-02-18,55.276,6.98,0.259,3.47,29.615,29.229,,,75.0,49.0
2017-02-19,55.965,30.74,0.0,0.0,29.72,29.288,,,79.0,57.0
2017-02-20,40.736,22.777,0.0,0.0,30.226,29.72,,,74.0,46.345
2017-02-21,45.997,8.06,0.0,0.0,30.255,29.823,,,72.0,39.0
2017-02-22,60.608,34.117,0.0,0.0,29.851,29.715,,,68.0,46.759
2017-02-23,66.518,31.394,0.0,0.0,29.715,29.484,,,78.0,48.133
2017-02-24,50.138,29.702,0.052,0.69,29.781,29.609,,,81.414,67.0
2017-02-25,68.745,32.72,0.233,2.08,29.661,29.259,,,85.0,56.6
2017-02-26,42.384,22.708,0.414,5.56,29.87,29.414,,,92.0,77.0
2017-02-27,46.082,19.22,0.129,1.74,30.067,29.87,,,85.0,79.0
2017-02-28,57.77,22.82,0.0,0.0,30.17,29.929,,,88.793,70.379
2017-03-01,57.92,40.64,0.337,3.82,29.929,29.1,,,83.0,74.0
2017-03-02,49.857,18.277,0.104,1.39,29.718,29.082,,,85.0,56.0
2017-03-03,29.48,7.88,0.0,0.0,30.036,29.718,,,66.0,49.8
2017-03-04,13.1,0.32,0.0,0.0,30.29,30.03,,,60.0,44.0
2017-03-05,27.568,-4.36,0.0,0.0,30.42,30.287,,,56.0,39.793
2017-03-06,46.866,-0.94,0.0,0.0,30.383,30.119,,,62.0,38.621
2017-03-07,44.24,31.82,0.181,2.43,30.15,29.816,,,80.0,56.379
2017-03-08,57.596,34.88,0.492,6.6,29.816,29.598,,,85.0,49.379
2017-03-09,39.74,26.06,0.026,0.35,29.761,29.55,,,77.0,56.0
2017-03-10,31.603,13.868,0.0,0.0,29.809,29.569,,,66.0,53.0
2017-03-11,15.62,-8.86,0.0,0.0,29.89,29.624,,,62.0,44.0
2017-03-12,23.516,-2.38,0.0,0.0,30.115,29.89,,,49.0,40.0
2017-03-13,28.442,-5.98,0.0,0.0,30.241,30.115,,,57.0,40.241
2017-03-14,19.76,15.26,0.0,0.0,30.174,29.225,,,74.0,44.0
2017-03-15,24.98,14.36,0.0,0.0,29.32,29.046,,,76.0,69.172
